TARGET_FID,n_pontos_pareados,pct_pontos
448,43807,87.61
200,43806,87.61
634,43805,87.61
244,43782,87.56
632,43763,87.53
133,43756,87.51
292,43745,87.49
217,43735,87.47
161,43729,87.46
30,43724,87.45
128,43719,87.44
527,43717,87.43
613,43710,87.42
151,43709,87.42
662,43704,87.41
420,43695,87.39
407,43683,87.37
606,43680,87.36
355,43664,87.33
26,43659,87.32
207,43657,87.31
245,43655,87.31
649,43652,87.3
262,43649,87.3
572,43641,87.28
313,43629,87.26
628,43618,87.24
466,43604,87.21
500,43589,87.18
265,43589,87.18
213,43578,87.16
107,43560,87.12
201,43556,87.11
51,43556,87.11
688,43555,87.11
430,43555,87.11
306,43545,87.09
397,43532,87.06
47,43523,87.05
599,43521,87.04
673,43513,87.03
390,43506,87.01
312,43496,86.99
580,43491,86.98
17,43485,86.97
461,43457,86.91
592,43448,86.9
101,43448,86.9
45,43448,86.9
571,43445,86.89
404,43426,86.85
457,43416,86.83
243,43416,86.83
252,43405,86.81
354,43401,86.8
137,43384,86.77
238,43383,86.77
638,43354,86.71
575,43340,86.68
413,43339,86.68
530,43320,86.64
233,43311,86.62
202,43304,86.61
469,43295,86.59
124,43294,86.59
449,43292,86.58
470,43274,86.55
272,43267,86.53
434,43262,86.52
174,43261,86.52
351,43261,86.52
484,43261,86.52
344,43257,86.51
160,43256,86.51
86,43240,86.48
463,43235,86.47
143,43230,86.46
242,43225,86.45
518,43203,86.41
674,43188,86.38
370,43180,86.36
43,43149,86.3
618,43144,86.29
653,43138,86.28
112,43102,86.2
231,43094,86.19
604,43083,86.17
274,43077,86.15
348,43074,86.15
418,43061,86.12
315,43045,86.09
232,43012,86.02
460,43012,86.02
676,43001,86.0
377,42986,85.97
76,42985,85.97
629,42984,85.97
22,42983,85.97
639,42966,85.93
547,42964,85.93
379,42961,85.92
645,42942,85.88
248,42931,85.86
701,42930,85.86
188,42909,85.82
643,42887,85.77
585,42878,85.76
582,42878,85.76
0,42857,85.71
445,42809,85.62
536,42805,85.61
589,42780,85.56
282,42767,85.53
655,42761,85.52
171,42760,85.52
77,42737,85.47
131,42684,85.37
253,42679,85.36
690,42662,85.32
123,42655,85.31
96,42644,85.29
246,42603,85.21
346,42585,85.17
614,42564,85.13
487,42556,85.11
499,42540,85.08
525,42500,85.0
519,42487,84.97
154,42479,84.96
263,42477,84.95
526,42462,84.92
157,42454,84.91
156,42415,84.83
386,42403,84.81
249,42387,84.77
432,42376,84.75
239,42373,84.75
280,42360,84.72
321,42340,84.68
95,42306,84.61
341,42283,84.57
210,42274,84.55
677,42272,84.54
455,42243,84.49
594,42238,84.48
179,42227,84.45
296,42174,84.35
40,42138,84.28
391,42093,84.19
626,42068,84.14
116,42051,84.1
288,42022,84.04
577,42020,84.04
600,42012,84.02
310,41998,84.0
71,41993,83.99
57,41965,83.93
203,41939,83.88
495,41918,83.84
87,41903,83.81
185,41863,83.73
458,41843,83.69
343,41827,83.65
623,41812,83.62
650,41778,83.56
374,41761,83.52
700,41747,83.49
46,41648,83.3
347,41595,83.19
523,41574,83.15
620,41554,83.11
189,41541,83.08
294,41540,83.08
181,41444,82.89
666,41423,82.85
304,41419,82.84
365,41383,82.77
58,41374,82.75
79,41332,82.66
510,41255,82.51
178,41247,82.49
66,41235,82.47
409,41225,82.45
211,41111,82.22
187,41067,82.13
368,40987,81.97
691,40956,81.91
447,40937,81.87
468,40919,81.84
270,40835,81.67
152,40805,81.61
456,40795,81.59
325,40789,81.58
415,40785,81.57
503,40774,81.55
4,40771,81.54
275,40734,81.47
323,40732,81.46
216,40694,81.39
670,40658,81.32
129,40651,81.3
287,40626,81.25
401,40603,81.21
23,40599,81.2
477,40578,81.16
333,40556,81.11
44,40473,80.95
689,40462,80.92
297,40451,80.9
680,40450,80.9
647,40437,80.87
591,40417,80.83
531,40412,80.82
237,40379,80.76
627,40324,80.65
586,40316,80.63
322,40298,80.6
336,40254,80.51
49,40228,80.46
264,40184,80.37
584,40057,80.11
358,40056,80.11
3,40021,80.04
494,39987,79.97
564,39948,79.9
416,39948,79.9
88,39934,79.87
573,39855,79.71
513,39847,79.69
1,39833,79.67
317,39771,79.54
488,39766,79.53
356,39711,79.42
35,39710,79.42
173,39686,79.37
319,39673,79.35
186,39662,79.32
138,39590,79.18
16,39565,79.13
479,39544,79.09
478,39459,78.92
69,39428,78.86
387,39396,78.79
21,39329,78.66
295,39303,78.61
444,39091,78.18
405,39059,78.12
419,38954,77.91
385,38954,77.91
349,38885,77.77
576,38812,77.62
205,38625,77.25
84,38436,76.87
271,38415,76.83
699,38383,76.77
505,38380,76.76
191,38369,76.74
257,38365,76.73
108,38351,76.7
548,38281,76.56
136,38229,76.46
685,38226,76.45
114,38190,76.38
622,38075,76.15
403,38063,76.13
78,38025,76.05
283,37904,75.81
562,37858,75.72
668,37808,75.62
417,37707,75.41
642,37621,75.24
446,37615,75.23
692,37369,74.74
595,37318,74.64
681,37066,74.13
506,36845,73.69
610,36740,73.48
375,36739,73.48
41,36277,72.55
350,36276,72.55
383,36269,72.54
473,36220,72.44
603,36151,72.3
697,36141,72.28
73,36123,72.25
661,36085,72.17
362,36036,72.07
19,35966,71.93
364,35964,71.93
567,35906,71.81
452,35819,71.64
75,35767,71.53
597,35723,71.45
256,35692,71.38
121,35649,71.3
169,35543,71.09
92,35485,70.97
20,35442,70.88
279,35302,70.6
50,35183,70.37
686,35161,70.32
636,35023,70.05
593,34982,69.96
192,34979,69.96
320,34901,69.8
640,34587,69.17
566,34430,68.86
255,34395,68.79
31,34204,68.41
105,33997,67.99
91,33564,67.13
33,33418,66.84
378,33408,66.82
106,33148,66.3
286,32908,65.82
54,32755,65.51
433,31757,63.51
56,30503,61.01
68,30484,60.97
509,30010,60.02
168,29811,59.62
663,29350,58.7
607,29346,58.69
126,29126,58.25
158,28643,57.29
32,28639,57.28
120,27835,55.67
167,26712,53.42
476,26135,52.27
520,25658,51.32
633,24556,49.11
648,24277,48.55
646,23512,47.02
332,21782,43.56
561,15977,31.95
61,14523,29.05
483,13319,26.64
598,13122,26.24
145,12922,25.84
693,12763,25.53
410,11721,23.44
569,10596,21.19
625,10456,20.91
545,10285,20.57
425,9428,18.86
357,9223,18.45
134,5315,10.63
74,5218,10.44
199,4670,9.34
345,1279,2.56
