id,class_cvp,class_2025,stable_20_,n_matches
317,1,41,41,702
318,1,4,4,702
319,1,15,15,702
320,1,15,15,702
321,1,15,15,702
322,1,15,15,702
323,1,15,15,702
324,1,15,15,702
325,1,15,15,702
326,1,15,15,702
327,1,15,15,702
328,1,15,15,702
329,1,15,15,702
330,1,4,4,702
331,1,15,15,702
332,1,15,15,702
333,1,15,15,702
334,1,15,15,702
335,1,15,15,702
336,1,4,4,702
337,1,15,15,702
338,1,15,15,702
339,1,15,15,702
340,1,15,15,702
341,1,15,15,702
342,1,4,4,702
343,1,15,15,702
344,1,15,15,702
345,1,15,15,702
346,1,15,15,702
347,1,15,15,702
348,1,15,15,702
349,1,15,15,702
350,1,15,15,702
351,1,15,15,702
352,1,15,15,702
353,1,15,15,702
354,1,15,15,702
355,1,15,15,702
356,1,15,15,702
357,1,15,15,702
358,1,15,15,702
359,1,15,15,702
360,1,12,12,702
361,1,15,15,702
362,1,15,15,702
363,1,15,15,702
364,1,41,41,702
365,1,4,4,702
366,1,15,15,702
367,1,15,15,702
368,1,15,15,702
369,1,15,15,702
370,1,4,4,702
371,1,15,15,702
372,1,41,41,702
373,1,15,15,702
374,1,15,15,702
375,1,15,15,702
376,1,21,15,702
377,1,15,15,702
378,1,15,15,702
379,1,15,15,702
380,1,15,15,702
381,1,15,15,702
382,1,15,15,702
383,1,15,15,702
384,1,15,15,702
385,1,15,15,702
386,1,15,15,702
387,1,15,15,702
388,1,15,15,702
389,1,15,15,702
390,1,15,15,702
391,1,15,15,702
392,1,20,15,702
393,1,15,15,702
394,1,15,15,702
395,1,15,15,702
396,1,15,15,702
397,1,15,15,702
398,1,15,15,702
399,1,15,15,702
400,1,15,15,702
401,1,41,41,702
402,1,15,15,702
403,1,15,15,702
404,1,12,12,702
405,1,15,15,702
406,1,15,15,702
407,1,4,4,702
408,1,15,15,702
409,1,15,15,702
410,1,15,15,702
411,1,15,15,702
412,1,15,15,702
413,1,15,15,702
414,1,15,15,702
415,1,15,15,702
416,1,15,11,702
417,1,15,15,702
418,1,3,3,702
419,1,15,15,702
420,1,4,4,702
421,1,15,15,702
422,1,15,15,702
423,1,15,15,702
424,1,15,15,702
425,1,15,15,702
426,1,15,15,702
427,1,15,15,702
428,1,15,15,702
429,1,15,15,702
430,1,15,15,702
431,1,15,15,702
432,1,15,15,702
433,1,15,15,702
434,1,15,15,702
435,1,39,39,702
436,1,15,15,702
437,1,15,15,702
438,1,15,15,702
439,1,15,15,702
440,1,21,21,702
441,1,15,15,702
442,1,15,15,702
443,1,15,15,702
444,1,15,15,702
445,1,41,41,702
446,1,15,15,702
447,1,15,15,702
448,1,15,15,702
449,1,15,15,702
450,1,15,15,702
451,1,15,15,702
452,1,15,15,702
453,1,15,15,702
454,1,15,15,702
455,1,15,15,702
456,1,15,15,702
457,1,15,15,702
458,1,15,15,702
459,1,15,15,702
460,1,15,15,702
461,1,15,15,702
462,1,15,15,702
463,1,15,15,702
464,1,15,15,702
465,1,15,15,702
466,1,39,15,702
467,1,15,15,702
468,1,15,15,702
469,1,15,15,702
470,1,15,15,702
471,1,15,15,702
472,1,15,15,702
473,1,11,11,702
474,1,15,15,702
475,1,15,15,702
476,1,15,15,702
477,1,15,15,702
478,1,4,15,702
479,1,15,15,702
480,1,15,15,702
481,1,15,15,702
482,1,15,15,702
483,1,15,15,702
484,1,15,15,702
485,1,11,11,702
486,1,15,15,702
487,1,15,15,702
488,1,15,15,702
489,1,15,15,702
490,1,15,15,702
491,1,15,15,702
492,1,15,15,702
493,1,15,4,702
494,1,15,15,702
495,1,15,15,702
496,1,15,15,702
497,1,15,15,702
498,1,15,15,702
499,1,15,15,702
500,1,15,15,702
501,1,15,15,702
502,1,9,9,702
503,1,41,41,702
504,1,21,15,702
505,1,15,15,702
506,1,15,15,702
507,1,15,15,702
508,1,15,15,702
509,1,15,15,702
510,1,15,15,702
511,1,15,15,702
512,1,15,15,702
513,1,15,15,702
514,1,15,15,702
515,1,15,15,702
516,1,15,15,702
517,1,15,15,702
518,1,15,15,702
519,1,15,15,702
520,1,15,15,702
521,1,15,15,702
522,1,15,15,702
523,1,15,15,702
524,1,15,15,702
525,1,15,15,702
526,1,15,15,702
527,1,15,15,702
528,1,15,15,702
529,1,15,15,702
530,1,15,15,702
531,1,15,15,702
532,1,15,15,702
533,1,15,15,702
534,1,15,15,702
535,1,15,15,702
536,1,15,15,702
537,1,15,15,702
538,1,15,15,702
539,1,15,15,702
540,1,15,15,702
541,1,15,15,702
542,1,15,15,702
543,1,15,15,702
544,1,15,15,702
545,1,4,4,702
546,1,15,15,702
547,1,15,15,702
548,1,15,15,702
549,1,4,4,702
550,1,4,3,702
551,1,15,15,702
552,1,15,15,702
553,1,15,15,702
554,1,15,15,702
555,1,15,15,702
556,1,15,15,702
557,1,3,3,702
558,1,15,15,702
559,1,15,15,702
560,1,15,15,702
561,1,15,15,702
562,1,15,15,702
563,1,15,15,702
564,1,15,15,702
565,1,15,15,702
566,1,15,15,702
567,1,15,15,702
568,1,15,15,702
569,1,15,15,702
570,1,15,15,702
571,1,15,15,702
572,1,15,15,702
573,1,15,15,702
574,1,15,15,702
575,1,15,15,702
576,1,4,4,702
577,1,4,4,702
578,1,15,4,702
579,1,15,15,702
580,1,15,15,702
581,1,15,4,702
582,1,15,15,702
583,1,15,15,702
584,1,15,15,702
585,1,15,15,702
586,1,15,15,702
587,1,15,15,702
588,1,15,15,702
589,1,15,15,702
590,1,15,15,702
591,1,15,15,702
592,1,15,15,702
593,1,15,15,702
594,1,15,15,702
595,1,9,9,702
596,1,15,15,702
597,1,15,15,702
598,1,15,15,702
599,1,15,4,702
600,1,15,15,702
601,1,15,15,702
602,1,15,15,702
603,1,15,15,702
604,1,15,15,702
605,1,15,15,702
606,1,15,15,702
607,1,15,15,702
608,1,15,15,702
609,1,15,15,702
610,1,15,15,702
611,1,15,15,702
612,1,15,15,702
613,1,15,15,702
614,1,15,15,702
615,1,15,15,702
616,1,4,4,702
617,1,15,15,702
618,1,15,15,702
619,1,15,15,702
620,1,15,15,702
621,1,15,15,702
622,1,15,15,702
623,1,15,15,702
624,1,4,4,702
625,1,15,15,702
626,1,15,15,702
627,1,11,11,702
628,1,21,15,702
629,1,4,4,702
630,1,15,15,702
631,1,15,15,702
632,1,15,15,702
633,1,15,15,702
634,1,15,15,702
635,1,15,15,702
636,1,15,15,702
637,1,15,15,702
638,1,4,4,702
639,1,15,15,702
640,1,15,15,702
641,1,15,15,702
642,1,15,15,702
643,1,15,15,702
644,1,15,15,702
645,1,15,15,702
646,1,15,15,702
647,1,15,15,702
648,1,15,15,702
649,1,15,15,702
650,1,15,15,702
651,1,15,15,702
652,1,15,15,702
653,1,15,15,702
654,1,15,15,702
655,1,15,15,702
656,1,15,15,702
657,1,15,15,702
658,1,15,15,702
659,1,15,15,702
660,1,15,15,702
661,1,15,15,702
662,1,15,15,702
663,1,15,15,702
664,1,15,15,702
665,1,15,15,702
666,1,15,15,702
667,1,15,15,702
668,1,15,15,702
669,1,15,15,702
670,1,15,4,702
671,1,15,15,702
672,1,15,15,702
673,1,15,15,702
674,1,15,15,702
675,1,15,15,702
676,1,15,15,702
677,1,15,15,702
678,1,15,15,702
679,1,15,15,702
680,1,15,15,702
681,1,15,15,702
682,1,15,15,702
683,1,15,15,702
684,1,15,15,702
685,1,15,15,702
686,1,15,15,702
687,1,15,15,702
688,1,15,15,702
689,1,15,15,702
690,1,15,15,702
691,1,15,15,702
692,1,15,15,702
693,1,4,4,702
694,1,15,15,702
695,1,15,15,702
696,1,15,15,702
697,1,15,15,702
698,1,15,15,702
699,1,15,15,702
700,1,3,3,702
701,1,15,15,702
702,1,4,4,702
703,1,15,15,702
704,1,15,15,702
705,1,15,15,702
706,1,15,15,702
707,1,15,15,702
708,1,15,15,702
709,1,15,15,702
710,1,15,15,702
711,1,15,15,702
712,1,15,15,702
713,1,15,15,702
714,1,15,15,702
715,1,15,15,702
716,1,15,15,702
717,1,15,15,702
718,1,15,15,702
719,1,15,15,702
720,1,15,15,702
721,1,21,15,702
722,1,15,15,702
723,1,15,15,702
724,1,15,15,702
725,1,15,15,702
726,1,15,15,702
727,1,4,4,702
728,1,15,15,702
729,1,15,15,702
730,1,15,15,702
731,1,15,15,702
732,1,15,15,702
733,1,15,15,702
734,1,15,15,702
735,1,15,15,702
736,1,3,3,702
737,1,15,15,702
738,1,15,15,702
739,1,15,15,702
740,1,15,15,702
741,1,15,15,702
742,1,15,15,702
743,1,15,15,702
744,1,15,15,702
745,1,15,15,702
746,1,15,15,702
747,1,15,15,702
748,1,15,41,702
749,1,15,15,702
750,1,15,15,702
751,1,15,15,702
752,1,15,15,702
753,1,15,15,702
754,1,15,15,702
755,1,15,15,702
756,1,15,15,702
757,1,15,15,702
758,1,15,15,702
759,1,15,15,702
760,1,15,15,702
761,1,15,15,702
762,1,15,15,702
763,1,15,15,702
764,1,15,15,702
765,1,15,15,702
766,1,15,15,702
767,1,15,15,702
768,1,15,15,702
769,1,15,15,702
770,1,15,15,702
771,1,15,15,702
772,1,4,4,702
773,1,15,15,702
774,1,15,15,702
775,1,15,15,702
776,1,15,15,702
777,1,15,15,702
778,1,15,15,702
779,1,21,15,702
780,1,15,15,702
781,1,15,15,702
782,1,15,15,702
783,1,21,15,702
784,1,15,15,702
785,1,15,15,702
786,1,15,15,702
787,1,15,15,702
