id,class_cvp,class_2025,stable_20_,n_matches_sem_limiar,max_similaridade,melhor_TARGET_FID
185,1,15,15,702,2025.0,year
186,1,15,15,702,2025.0,year
187,1,15,15,702,2025.0,year
188,1,15,15,702,2025.0,year
189,1,15,15,702,2025.0,year
190,1,15,15,702,2025.0,year
191,1,15,15,702,2025.0,year
192,1,15,15,702,2025.0,year
193,1,15,15,702,2025.0,year
194,1,15,15,702,2025.0,year
195,1,15,15,702,2025.0,year
196,1,15,15,702,2025.0,year
197,1,15,15,702,2025.0,year
198,1,15,15,702,2025.0,year
199,1,15,15,702,2025.0,year
200,1,15,15,702,2025.0,year
201,1,15,15,702,2025.0,year
202,1,12,12,702,2025.0,year
203,1,15,15,702,2025.0,year
204,1,15,15,702,2025.0,year
205,1,15,15,702,2025.0,year
206,1,15,15,702,2025.0,year
207,1,21,15,702,2025.0,year
208,1,15,15,702,2025.0,year
209,1,15,15,702,2025.0,year
210,1,15,15,702,2025.0,year
211,1,15,15,702,2025.0,year
212,1,15,15,702,2025.0,year
213,1,15,15,702,2025.0,year
214,1,15,15,702,2025.0,year
215,1,15,15,702,2025.0,year
216,1,15,15,702,2025.0,year
217,1,15,15,702,2025.0,year
218,1,21,15,702,2025.0,year
219,1,15,15,702,2025.0,year
220,1,15,15,702,2025.0,year
221,1,15,15,702,2025.0,year
222,1,15,15,702,2025.0,year
223,1,15,15,702,2025.0,year
224,1,15,15,702,2025.0,year
225,1,15,15,702,2025.0,year
226,1,15,15,702,2025.0,year
227,1,12,12,702,2025.0,year
228,1,15,15,702,2025.0,year
229,1,15,15,702,2025.0,year
230,1,15,15,702,2025.0,year
231,1,15,15,702,2025.0,year
232,1,15,15,702,2025.0,year
233,1,15,15,702,2025.0,year
234,1,15,15,702,2025.0,year
235,1,15,15,702,2025.0,year
236,1,15,15,702,2025.0,year
237,1,15,15,702,2025.0,year
238,1,15,15,702,2025.0,year
239,1,41,41,702,2025.0,year
240,1,15,15,702,2025.0,year
241,1,15,15,702,2025.0,year
242,1,15,15,702,2025.0,year
243,1,15,15,702,2025.0,year
244,1,4,4,702,2025.0,year
245,1,15,15,702,2025.0,year
246,1,15,15,702,2025.0,year
247,1,15,15,702,2025.0,year
248,1,15,15,702,2025.0,year
249,1,15,15,702,2025.0,year
250,1,15,15,702,2025.0,year
251,1,15,15,702,2025.0,year
252,1,15,15,702,2025.0,year
253,1,15,15,702,2025.0,year
254,1,4,15,702,2025.0,year
255,1,21,15,702,2025.0,year
256,1,15,15,702,2025.0,year
257,1,15,15,702,2025.0,year
258,1,15,15,702,2025.0,year
259,1,15,15,702,2025.0,year
260,1,15,15,702,2025.0,year
261,1,15,15,702,2025.0,year
262,1,15,15,702,2025.0,year
263,1,15,15,702,2025.0,year
264,1,15,15,702,2025.0,year
265,1,15,15,702,2025.0,year
266,1,15,15,702,2025.0,year
267,1,15,15,702,2025.0,year
268,1,15,15,702,2025.0,year
269,1,15,15,702,2025.0,year
270,1,15,15,702,2025.0,year
271,1,15,15,702,2025.0,year
272,1,15,15,702,2025.0,year
273,1,15,15,702,2025.0,year
274,1,15,15,702,2025.0,year
275,1,15,15,702,2025.0,year
276,1,15,15,702,2025.0,year
277,1,12,12,702,2025.0,year
278,1,15,4,702,2025.0,year
279,1,15,15,702,2025.0,year
280,1,15,15,702,2025.0,year
281,1,15,15,702,2025.0,year
282,1,15,15,702,2025.0,year
283,1,15,15,702,2025.0,year
284,1,15,15,702,2025.0,year
285,1,15,15,702,2025.0,year
286,1,15,15,702,2025.0,year
287,1,15,15,702,2025.0,year
288,1,15,15,702,2025.0,year
289,1,15,15,702,2025.0,year
290,1,4,4,702,2025.0,year
291,1,15,15,702,2025.0,year
292,1,15,15,702,2025.0,year
293,1,15,15,702,2025.0,year
294,1,15,15,702,2025.0,year
295,1,15,15,702,2025.0,year
296,1,15,15,702,2025.0,year
297,1,15,15,702,2025.0,year
298,1,15,15,702,2025.0,year
299,1,4,4,702,2025.0,year
300,1,9,9,702,2025.0,year
301,1,15,15,702,2025.0,year
302,1,15,15,702,2025.0,year
303,1,15,15,702,2025.0,year
304,1,15,15,702,2025.0,year
305,1,15,15,702,2025.0,year
306,1,15,15,702,2025.0,year
307,1,15,15,702,2025.0,year
308,1,15,15,702,2025.0,year
309,1,15,15,702,2025.0,year
310,1,39,39,702,2025.0,year
311,1,15,15,702,2025.0,year
312,1,15,15,702,2025.0,year
313,1,15,15,702,2025.0,year
314,1,39,39,702,2025.0,year
315,1,15,15,702,2025.0,year
316,1,15,15,702,2025.0,year
317,1,41,41,702,2025.0,year
318,1,4,4,702,2025.0,year
319,1,15,15,702,2025.0,year
320,1,15,15,702,2025.0,year
321,1,15,15,702,2025.0,year
322,1,15,15,702,2025.0,year
323,1,15,15,702,2025.0,year
324,1,15,15,702,2025.0,year
325,1,15,15,702,2025.0,year
326,1,15,15,702,2025.0,year
327,1,15,15,702,2025.0,year
328,1,15,15,702,2025.0,year
329,1,15,15,702,2025.0,year
330,1,4,4,702,2025.0,year
331,1,15,15,702,2025.0,year
332,1,15,15,702,2025.0,year
333,1,15,15,702,2025.0,year
334,1,15,15,702,2025.0,year
335,1,15,15,702,2025.0,year
336,1,4,4,702,2025.0,year
337,1,15,15,702,2025.0,year
338,1,15,15,702,2025.0,year
339,1,15,15,702,2025.0,year
340,1,15,15,702,2025.0,year
341,1,15,15,702,2025.0,year
342,1,4,4,702,2025.0,year
343,1,15,15,702,2025.0,year
344,1,15,15,702,2025.0,year
345,1,15,15,702,2025.0,year
346,1,15,15,702,2025.0,year
347,1,15,15,702,2025.0,year
348,1,15,15,702,2025.0,year
349,1,15,15,702,2025.0,year
350,1,15,15,702,2025.0,year
351,1,15,15,702,2025.0,year
352,1,15,15,702,2025.0,year
353,1,15,15,702,2025.0,year
354,1,15,15,702,2025.0,year
355,1,15,15,702,2025.0,year
356,1,15,15,702,2025.0,year
357,1,15,15,702,2025.0,year
358,1,15,15,702,2025.0,year
359,1,15,15,702,2025.0,year
360,1,12,12,702,2025.0,year
361,1,15,15,702,2025.0,year
362,1,15,15,702,2025.0,year
363,1,15,15,702,2025.0,year
364,1,41,41,702,2025.0,year
365,1,4,4,702,2025.0,year
366,1,15,15,702,2025.0,year
367,1,15,15,702,2025.0,year
368,1,15,15,702,2025.0,year
369,1,15,15,702,2025.0,year
370,1,4,4,702,2025.0,year
371,1,15,15,702,2025.0,year
372,1,41,41,702,2025.0,year
373,1,15,15,702,2025.0,year
374,1,15,15,702,2025.0,year
375,1,15,15,702,2025.0,year
376,1,21,15,702,2025.0,year
377,1,15,15,702,2025.0,year
378,1,15,15,702,2025.0,year
379,1,15,15,702,2025.0,year
380,1,15,15,702,2025.0,year
381,1,15,15,702,2025.0,year
382,1,15,15,702,2025.0,year
383,1,15,15,702,2025.0,year
384,1,15,15,702,2025.0,year
385,1,15,15,702,2025.0,year
386,1,15,15,702,2025.0,year
387,1,15,15,702,2025.0,year
388,1,15,15,702,2025.0,year
389,1,15,15,702,2025.0,year
390,1,15,15,702,2025.0,year
391,1,15,15,702,2025.0,year
392,1,20,15,702,2025.0,year
393,1,15,15,702,2025.0,year
394,1,15,15,702,2025.0,year
395,1,15,15,702,2025.0,year
396,1,15,15,702,2025.0,year
397,1,15,15,702,2025.0,year
398,1,15,15,702,2025.0,year
399,1,15,15,702,2025.0,year
400,1,15,15,702,2025.0,year
401,1,41,41,702,2025.0,year
402,1,15,15,702,2025.0,year
403,1,15,15,702,2025.0,year
404,1,12,12,702,2025.0,year
405,1,15,15,702,2025.0,year
406,1,15,15,702,2025.0,year
407,1,4,4,702,2025.0,year
408,1,15,15,702,2025.0,year
409,1,15,15,702,2025.0,year
410,1,15,15,702,2025.0,year
411,1,15,15,702,2025.0,year
412,1,15,15,702,2025.0,year
413,1,15,15,702,2025.0,year
414,1,15,15,702,2025.0,year
415,1,15,15,702,2025.0,year
416,1,15,11,702,2025.0,year
417,1,15,15,702,2025.0,year
418,1,3,3,702,2025.0,year
419,1,15,15,702,2025.0,year
420,1,4,4,702,2025.0,year
421,1,15,15,702,2025.0,year
422,1,15,15,702,2025.0,year
423,1,15,15,702,2025.0,year
424,1,15,15,702,2025.0,year
425,1,15,15,702,2025.0,year
426,1,15,15,702,2025.0,year
427,1,15,15,702,2025.0,year
428,1,15,15,702,2025.0,year
429,1,15,15,702,2025.0,year
430,1,15,15,702,2025.0,year
431,1,15,15,702,2025.0,year
432,1,15,15,702,2025.0,year
433,1,15,15,702,2025.0,year
434,1,15,15,702,2025.0,year
435,1,39,39,702,2025.0,year
436,1,15,15,702,2025.0,year
437,1,15,15,702,2025.0,year
438,1,15,15,702,2025.0,year
439,1,15,15,702,2025.0,year
440,1,21,21,702,2025.0,year
441,1,15,15,702,2025.0,year
442,1,15,15,702,2025.0,year
443,1,15,15,702,2025.0,year
444,1,15,15,702,2025.0,year
445,1,41,41,702,2025.0,year
446,1,15,15,702,2025.0,year
447,1,15,15,702,2025.0,year
448,1,15,15,702,2025.0,year
449,1,15,15,702,2025.0,year
450,1,15,15,702,2025.0,year
451,1,15,15,702,2025.0,year
452,1,15,15,702,2025.0,year
453,1,15,15,702,2025.0,year
454,1,15,15,702,2025.0,year
455,1,15,15,702,2025.0,year
456,1,15,15,702,2025.0,year
457,1,15,15,702,2025.0,year
458,1,15,15,702,2025.0,year
459,1,15,15,702,2025.0,year
460,1,15,15,702,2025.0,year
461,1,15,15,702,2025.0,year
462,1,15,15,702,2025.0,year
463,1,15,15,702,2025.0,year
464,1,15,15,702,2025.0,year
465,1,15,15,702,2025.0,year
466,1,39,15,702,2025.0,year
467,1,15,15,702,2025.0,year
468,1,15,15,702,2025.0,year
469,1,15,15,702,2025.0,year
470,1,15,15,702,2025.0,year
471,1,15,15,702,2025.0,year
472,1,15,15,702,2025.0,year
473,1,11,11,702,2025.0,year
474,1,15,15,702,2025.0,year
475,1,15,15,702,2025.0,year
476,1,15,15,702,2025.0,year
477,1,15,15,702,2025.0,year
478,1,4,15,702,2025.0,year
479,1,15,15,702,2025.0,year
480,1,15,15,702,2025.0,year
481,1,15,15,702,2025.0,year
482,1,15,15,702,2025.0,year
483,1,15,15,702,2025.0,year
484,1,15,15,702,2025.0,year
485,1,11,11,702,2025.0,year
486,1,15,15,702,2025.0,year
487,1,15,15,702,2025.0,year
488,1,15,15,702,2025.0,year
489,1,15,15,702,2025.0,year
490,1,15,15,702,2025.0,year
491,1,15,15,702,2025.0,year
492,1,15,15,702,2025.0,year
493,1,15,4,702,2025.0,year
494,1,15,15,702,2025.0,year
495,1,15,15,702,2025.0,year
496,1,15,15,702,2025.0,year
497,1,15,15,702,2025.0,year
498,1,15,15,702,2025.0,year
499,1,15,15,702,2025.0,year
500,1,15,15,702,2025.0,year
501,1,15,15,702,2025.0,year
502,1,9,9,702,2025.0,year
503,1,41,41,702,2025.0,year
504,1,21,15,702,2025.0,year
505,1,15,15,702,2025.0,year
506,1,15,15,702,2025.0,year
507,1,15,15,702,2025.0,year
508,1,15,15,702,2025.0,year
509,1,15,15,702,2025.0,year
510,1,15,15,702,2025.0,year
511,1,15,15,702,2025.0,year
512,1,15,15,702,2025.0,year
513,1,15,15,702,2025.0,year
514,1,15,15,702,2025.0,year
515,1,15,15,702,2025.0,year
516,1,15,15,702,2025.0,year
517,1,15,15,702,2025.0,year
518,1,15,15,702,2025.0,year
519,1,15,15,702,2025.0,year
520,1,15,15,702,2025.0,year
521,1,15,15,702,2025.0,year
522,1,15,15,702,2025.0,year
523,1,15,15,702,2025.0,year
524,1,15,15,702,2025.0,year
525,1,15,15,702,2025.0,year
526,1,15,15,702,2025.0,year
527,1,15,15,702,2025.0,year
528,1,15,15,702,2025.0,year
529,1,15,15,702,2025.0,year
530,1,15,15,702,2025.0,year
531,1,15,15,702,2025.0,year
532,1,15,15,702,2025.0,year
533,1,15,15,702,2025.0,year
534,1,15,15,702,2025.0,year
535,1,15,15,702,2025.0,year
536,1,15,15,702,2025.0,year
537,1,15,15,702,2025.0,year
538,1,15,15,702,2025.0,year
539,1,15,15,702,2025.0,year
540,1,15,15,702,2025.0,year
541,1,15,15,702,2025.0,year
542,1,15,15,702,2025.0,year
543,1,15,15,702,2025.0,year
544,1,15,15,702,2025.0,year
545,1,4,4,702,2025.0,year
546,1,15,15,702,2025.0,year
547,1,15,15,702,2025.0,year
548,1,15,15,702,2025.0,year
549,1,4,4,702,2025.0,year
550,1,4,3,702,2025.0,year
551,1,15,15,702,2025.0,year
552,1,15,15,702,2025.0,year
553,1,15,15,702,2025.0,year
554,1,15,15,702,2025.0,year
555,1,15,15,702,2025.0,year
556,1,15,15,702,2025.0,year
557,1,3,3,702,2025.0,year
558,1,15,15,702,2025.0,year
559,1,15,15,702,2025.0,year
560,1,15,15,702,2025.0,year
561,1,15,15,702,2025.0,year
562,1,15,15,702,2025.0,year
563,1,15,15,702,2025.0,year
564,1,15,15,702,2025.0,year
565,1,15,15,702,2025.0,year
566,1,15,15,702,2025.0,year
567,1,15,15,702,2025.0,year
568,1,15,15,702,2025.0,year
569,1,15,15,702,2025.0,year
570,1,15,15,702,2025.0,year
571,1,15,15,702,2025.0,year
572,1,15,15,702,2025.0,year
573,1,15,15,702,2025.0,year
574,1,15,15,702,2025.0,year
575,1,15,15,702,2025.0,year
576,1,4,4,702,2025.0,year
577,1,4,4,702,2025.0,year
578,1,15,4,702,2025.0,year
579,1,15,15,702,2025.0,year
580,1,15,15,702,2025.0,year
581,1,15,4,702,2025.0,year
582,1,15,15,702,2025.0,year
583,1,15,15,702,2025.0,year
584,1,15,15,702,2025.0,year
585,1,15,15,702,2025.0,year
586,1,15,15,702,2025.0,year
587,1,15,15,702,2025.0,year
588,1,15,15,702,2025.0,year
589,1,15,15,702,2025.0,year
590,1,15,15,702,2025.0,year
591,1,15,15,702,2025.0,year
592,1,15,15,702,2025.0,year
593,1,15,15,702,2025.0,year
594,1,15,15,702,2025.0,year
595,1,9,9,702,2025.0,year
596,1,15,15,702,2025.0,year
597,1,15,15,702,2025.0,year
598,1,15,15,702,2025.0,year
599,1,15,4,702,2025.0,year
600,1,15,15,702,2025.0,year
601,1,15,15,702,2025.0,year
602,1,15,15,702,2025.0,year
603,1,15,15,702,2025.0,year
604,1,15,15,702,2025.0,year
605,1,15,15,702,2025.0,year
606,1,15,15,702,2025.0,year
607,1,15,15,702,2025.0,year
608,1,15,15,702,2025.0,year
609,1,15,15,702,2025.0,year
610,1,15,15,702,2025.0,year
611,1,15,15,702,2025.0,year
612,1,15,15,702,2025.0,year
613,1,15,15,702,2025.0,year
614,1,15,15,702,2025.0,year
615,1,15,15,702,2025.0,year
616,1,4,4,702,2025.0,year
617,1,15,15,702,2025.0,year
618,1,15,15,702,2025.0,year
619,1,15,15,702,2025.0,year
620,1,15,15,702,2025.0,year
621,1,15,15,702,2025.0,year
622,1,15,15,702,2025.0,year
623,1,15,15,702,2025.0,year
624,1,4,4,702,2025.0,year
625,1,15,15,702,2025.0,year
626,1,15,15,702,2025.0,year
627,1,11,11,702,2025.0,year
628,1,21,15,702,2025.0,year
629,1,4,4,702,2025.0,year
630,1,15,15,702,2025.0,year
631,1,15,15,702,2025.0,year
632,1,15,15,702,2025.0,year
633,1,15,15,702,2025.0,year
634,1,15,15,702,2025.0,year
635,1,15,15,702,2025.0,year
636,1,15,15,702,2025.0,year
637,1,15,15,702,2025.0,year
638,1,4,4,702,2025.0,year
639,1,15,15,702,2025.0,year
640,1,15,15,702,2025.0,year
641,1,15,15,702,2025.0,year
642,1,15,15,702,2025.0,year
643,1,15,15,702,2025.0,year
644,1,15,15,702,2025.0,year
645,1,15,15,702,2025.0,year
646,1,15,15,702,2025.0,year
647,1,15,15,702,2025.0,year
648,1,15,15,702,2025.0,year
649,1,15,15,702,2025.0,year
650,1,15,15,702,2025.0,year
651,1,15,15,702,2025.0,year
652,1,15,15,702,2025.0,year
653,1,15,15,702,2025.0,year
654,1,15,15,702,2025.0,year
655,1,15,15,702,2025.0,year
656,1,15,15,702,2025.0,year
657,1,15,15,702,2025.0,year
658,1,15,15,702,2025.0,year
659,1,15,15,702,2025.0,year
660,1,15,15,702,2025.0,year
661,1,15,15,702,2025.0,year
662,1,15,15,702,2025.0,year
663,1,15,15,702,2025.0,year
664,1,15,15,702,2025.0,year
665,1,15,15,702,2025.0,year
666,1,15,15,702,2025.0,year
667,1,15,15,702,2025.0,year
668,1,15,15,702,2025.0,year
669,1,15,15,702,2025.0,year
670,1,15,4,702,2025.0,year
671,1,15,15,702,2025.0,year
672,1,15,15,702,2025.0,year
673,1,15,15,702,2025.0,year
674,1,15,15,702,2025.0,year
675,1,15,15,702,2025.0,year
676,1,15,15,702,2025.0,year
677,1,15,15,702,2025.0,year
678,1,15,15,702,2025.0,year
679,1,15,15,702,2025.0,year
680,1,15,15,702,2025.0,year
681,1,15,15,702,2025.0,year
682,1,15,15,702,2025.0,year
683,1,15,15,702,2025.0,year
684,1,15,15,702,2025.0,year
685,1,15,15,702,2025.0,year
686,1,15,15,702,2025.0,year
687,1,15,15,702,2025.0,year
688,1,15,15,702,2025.0,year
689,1,15,15,702,2025.0,year
690,1,15,15,702,2025.0,year
691,1,15,15,702,2025.0,year
692,1,15,15,702,2025.0,year
693,1,4,4,702,2025.0,year
694,1,15,15,702,2025.0,year
695,1,15,15,702,2025.0,year
696,1,15,15,702,2025.0,year
697,1,15,15,702,2025.0,year
698,1,15,15,702,2025.0,year
699,1,15,15,702,2025.0,year
700,1,3,3,702,2025.0,year
701,1,15,15,702,2025.0,year
702,1,4,4,702,2025.0,year
703,1,15,15,702,2025.0,year
704,1,15,15,702,2025.0,year
705,1,15,15,702,2025.0,year
706,1,15,15,702,2025.0,year
707,1,15,15,702,2025.0,year
708,1,15,15,702,2025.0,year
709,1,15,15,702,2025.0,year
710,1,15,15,702,2025.0,year
711,1,15,15,702,2025.0,year
712,1,15,15,702,2025.0,year
713,1,15,15,702,2025.0,year
714,1,15,15,702,2025.0,year
715,1,15,15,702,2025.0,year
716,1,15,15,702,2025.0,year
717,1,15,15,702,2025.0,year
718,1,15,15,702,2025.0,year
719,1,15,15,702,2025.0,year
720,1,15,15,702,2025.0,year
721,1,21,15,702,2025.0,year
722,1,15,15,702,2025.0,year
723,1,15,15,702,2025.0,year
724,1,15,15,702,2025.0,year
725,1,15,15,702,2025.0,year
726,1,15,15,702,2025.0,year
727,1,4,4,702,2025.0,year
728,1,15,15,702,2025.0,year
729,1,15,15,702,2025.0,year
730,1,15,15,702,2025.0,year
731,1,15,15,702,2025.0,year
732,1,15,15,702,2025.0,year
733,1,15,15,702,2025.0,year
734,1,15,15,702,2025.0,year
735,1,15,15,702,2025.0,year
736,1,3,3,702,2025.0,year
737,1,15,15,702,2025.0,year
738,1,15,15,702,2025.0,year
739,1,15,15,702,2025.0,year
740,1,15,15,702,2025.0,year
741,1,15,15,702,2025.0,year
742,1,15,15,702,2025.0,year
743,1,15,15,702,2025.0,year
744,1,15,15,702,2025.0,year
745,1,15,15,702,2025.0,year
746,1,15,15,702,2025.0,year
747,1,15,15,702,2025.0,year
748,1,15,41,702,2025.0,year
749,1,15,15,702,2025.0,year
750,1,15,15,702,2025.0,year
751,1,15,15,702,2025.0,year
752,1,15,15,702,2025.0,year
753,1,15,15,702,2025.0,year
754,1,15,15,702,2025.0,year
755,1,15,15,702,2025.0,year
756,1,15,15,702,2025.0,year
