TARGET_FID,n_pontos_pareados,pct_pontos
355,50000,100.0
356,50000,100.0
357,50000,100.0
358,50000,100.0
359,50000,100.0
36,50000,100.0
360,50000,100.0
361,50000,100.0
362,50000,100.0
363,50000,100.0
364,50000,100.0
365,50000,100.0
366,50000,100.0
367,50000,100.0
368,50000,100.0
369,50000,100.0
37,50000,100.0
370,50000,100.0
371,50000,100.0
372,50000,100.0
373,50000,100.0
374,50000,100.0
375,50000,100.0
376,50000,100.0
377,50000,100.0
378,50000,100.0
379,50000,100.0
38,50000,100.0
380,50000,100.0
381,50000,100.0
382,50000,100.0
383,50000,100.0
384,50000,100.0
385,50000,100.0
386,50000,100.0
387,50000,100.0
388,50000,100.0
389,50000,100.0
39,50000,100.0
390,50000,100.0
391,50000,100.0
392,50000,100.0
393,50000,100.0
394,50000,100.0
395,50000,100.0
396,50000,100.0
397,50000,100.0
398,50000,100.0
399,50000,100.0
4,50000,100.0
40,50000,100.0
400,50000,100.0
401,50000,100.0
402,50000,100.0
403,50000,100.0
404,50000,100.0
405,50000,100.0
406,50000,100.0
407,50000,100.0
408,50000,100.0
409,50000,100.0
41,50000,100.0
410,50000,100.0
411,50000,100.0
412,50000,100.0
413,50000,100.0
414,50000,100.0
415,50000,100.0
416,50000,100.0
417,50000,100.0
418,50000,100.0
419,50000,100.0
42,50000,100.0
420,50000,100.0
421,50000,100.0
422,50000,100.0
423,50000,100.0
424,50000,100.0
425,50000,100.0
426,50000,100.0
427,50000,100.0
428,50000,100.0
429,50000,100.0
43,50000,100.0
430,50000,100.0
431,50000,100.0
432,50000,100.0
433,50000,100.0
434,50000,100.0
435,50000,100.0
436,50000,100.0
437,50000,100.0
438,50000,100.0
439,50000,100.0
44,50000,100.0
440,50000,100.0
441,50000,100.0
442,50000,100.0
443,50000,100.0
444,50000,100.0
445,50000,100.0
446,50000,100.0
447,50000,100.0
448,50000,100.0
449,50000,100.0
45,50000,100.0
450,50000,100.0
451,50000,100.0
452,50000,100.0
453,50000,100.0
454,50000,100.0
455,50000,100.0
456,50000,100.0
457,50000,100.0
458,50000,100.0
459,50000,100.0
46,50000,100.0
460,50000,100.0
461,50000,100.0
462,50000,100.0
463,50000,100.0
464,50000,100.0
465,50000,100.0
466,50000,100.0
467,50000,100.0
468,50000,100.0
469,50000,100.0
47,50000,100.0
470,50000,100.0
471,50000,100.0
472,50000,100.0
473,50000,100.0
474,50000,100.0
475,50000,100.0
476,50000,100.0
477,50000,100.0
478,50000,100.0
479,50000,100.0
48,50000,100.0
480,50000,100.0
481,50000,100.0
482,50000,100.0
483,50000,100.0
484,50000,100.0
485,50000,100.0
486,50000,100.0
487,50000,100.0
488,50000,100.0
489,50000,100.0
49,50000,100.0
490,50000,100.0
491,50000,100.0
492,50000,100.0
493,50000,100.0
494,50000,100.0
495,50000,100.0
496,50000,100.0
497,50000,100.0
498,50000,100.0
499,50000,100.0
5,50000,100.0
50,50000,100.0
500,50000,100.0
501,50000,100.0
502,50000,100.0
503,50000,100.0
504,50000,100.0
505,50000,100.0
506,50000,100.0
507,50000,100.0
508,50000,100.0
509,50000,100.0
51,50000,100.0
510,50000,100.0
511,50000,100.0
512,50000,100.0
513,50000,100.0
514,50000,100.0
515,50000,100.0
516,50000,100.0
517,50000,100.0
518,50000,100.0
519,50000,100.0
52,50000,100.0
520,50000,100.0
521,50000,100.0
522,50000,100.0
523,50000,100.0
524,50000,100.0
525,50000,100.0
526,50000,100.0
527,50000,100.0
528,50000,100.0
529,50000,100.0
53,50000,100.0
530,50000,100.0
531,50000,100.0
532,50000,100.0
533,50000,100.0
534,50000,100.0
535,50000,100.0
536,50000,100.0
537,50000,100.0
538,50000,100.0
539,50000,100.0
54,50000,100.0
540,50000,100.0
541,50000,100.0
542,50000,100.0
543,50000,100.0
544,50000,100.0
545,50000,100.0
546,50000,100.0
547,50000,100.0
548,50000,100.0
549,50000,100.0
55,50000,100.0
550,50000,100.0
551,50000,100.0
552,50000,100.0
553,50000,100.0
554,50000,100.0
555,50000,100.0
556,50000,100.0
557,50000,100.0
558,50000,100.0
559,50000,100.0
56,50000,100.0
560,50000,100.0
561,50000,100.0
562,50000,100.0
563,50000,100.0
564,50000,100.0
565,50000,100.0
566,50000,100.0
567,50000,100.0
568,50000,100.0
569,50000,100.0
57,50000,100.0
570,50000,100.0
571,50000,100.0
572,50000,100.0
573,50000,100.0
574,50000,100.0
575,50000,100.0
576,50000,100.0
577,50000,100.0
578,50000,100.0
579,50000,100.0
58,50000,100.0
580,50000,100.0
581,50000,100.0
582,50000,100.0
583,50000,100.0
584,50000,100.0
585,50000,100.0
586,50000,100.0
587,50000,100.0
588,50000,100.0
589,50000,100.0
59,50000,100.0
590,50000,100.0
591,50000,100.0
592,50000,100.0
593,50000,100.0
594,50000,100.0
595,50000,100.0
596,50000,100.0
597,50000,100.0
598,50000,100.0
599,50000,100.0
6,50000,100.0
60,50000,100.0
600,50000,100.0
601,50000,100.0
602,50000,100.0
603,50000,100.0
604,50000,100.0
605,50000,100.0
606,50000,100.0
607,50000,100.0
608,50000,100.0
609,50000,100.0
61,50000,100.0
610,50000,100.0
611,50000,100.0
612,50000,100.0
613,50000,100.0
614,50000,100.0
615,50000,100.0
616,50000,100.0
617,50000,100.0
618,50000,100.0
619,50000,100.0
62,50000,100.0
620,50000,100.0
621,50000,100.0
622,50000,100.0
623,50000,100.0
624,50000,100.0
625,50000,100.0
626,50000,100.0
627,50000,100.0
628,50000,100.0
629,50000,100.0
63,50000,100.0
630,50000,100.0
631,50000,100.0
632,50000,100.0
633,50000,100.0
634,50000,100.0
635,50000,100.0
636,50000,100.0
637,50000,100.0
638,50000,100.0
639,50000,100.0
64,50000,100.0
640,50000,100.0
641,50000,100.0
642,50000,100.0
643,50000,100.0
644,50000,100.0
645,50000,100.0
646,50000,100.0
647,50000,100.0
648,50000,100.0
649,50000,100.0
65,50000,100.0
650,50000,100.0
651,50000,100.0
652,50000,100.0
653,50000,100.0
654,50000,100.0
655,50000,100.0
656,50000,100.0
657,50000,100.0
658,50000,100.0
659,50000,100.0
66,50000,100.0
660,50000,100.0
661,50000,100.0
662,50000,100.0
663,50000,100.0
664,50000,100.0
665,50000,100.0
666,50000,100.0
667,50000,100.0
668,50000,100.0
669,50000,100.0
67,50000,100.0
670,50000,100.0
671,50000,100.0
672,50000,100.0
673,50000,100.0
674,50000,100.0
675,50000,100.0
676,50000,100.0
677,50000,100.0
678,50000,100.0
679,50000,100.0
68,50000,100.0
680,50000,100.0
681,50000,100.0
682,50000,100.0
683,50000,100.0
684,50000,100.0
685,50000,100.0
686,50000,100.0
687,50000,100.0
688,50000,100.0
689,50000,100.0
69,50000,100.0
690,50000,100.0
691,50000,100.0
692,50000,100.0
693,50000,100.0
694,50000,100.0
695,50000,100.0
696,50000,100.0
697,50000,100.0
698,50000,100.0
699,50000,100.0
7,50000,100.0
70,50000,100.0
700,50000,100.0
701,50000,100.0
71,50000,100.0
72,50000,100.0
73,50000,100.0
74,50000,100.0
75,50000,100.0
76,50000,100.0
77,50000,100.0
78,50000,100.0
79,50000,100.0
8,50000,100.0
80,50000,100.0
81,50000,100.0
82,50000,100.0
83,50000,100.0
84,50000,100.0
85,50000,100.0
86,50000,100.0
87,50000,100.0
88,50000,100.0
89,50000,100.0
9,50000,100.0
90,50000,100.0
91,50000,100.0
92,50000,100.0
93,50000,100.0
94,50000,100.0
95,50000,100.0
96,50000,100.0
97,50000,100.0
98,50000,100.0
99,50000,100.0
